Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
C601,1u,CAP_0402,0.8300,39.4200,0.0000,top
C602,1u,CAP_0402,2.8300,39.4200,0.0000,top
C603,4n7,CAP_0402,5.2500,42.5000,270.0000,top
C731,100n,CAP_0402,1.0000,5.2500,270.0,bottom
C732,100n,CAP_0402,-2.0000,-5.2500,90.0,bottom
C733,1u,CAP_0402,1.0000,-5.2500,90.0,bottom
C734,1u,CAP_0402,2.0000,-5.2500,90.0,bottom
C735,100n,CAP_0402,-5.2500,-2.5000,0.0,bottom
C736,100n,CAP_0402,-5.2500,1.0000,0.0,bottom
C737,100n,CAP_0402,-0.2500,5.2500,270.0,bottom
C738,100n,CAP_0402,5.2500,1.0000,180.0,bottom
C739,3p9,CAP_0402,5.7500,-4.2500,90.0000,top
C740,100n,CAP_0402,4.5000,-5.2500,90.0,bottom
C741,100n,CAP_0402,3.0000,-5.2500,90.0,bottom
C742,1p8,CAP_0402,5.2500,-2.7500,0.0000,top
C743,10u,CAP_0402,-1.0000,-7.2500,270.0,bottom
C744,100n,CAP_0402,-1.0000,-5.2500,90.0,bottom
C745,100n,CAP_0402,0.0000,-5.2500,90.0,bottom
C746,1u,CAP_0402,0.0000,-7.2500,270.0,bottom
C747,100n,CAP_0402,1.0000,-7.2500,270.0,bottom
C748,10p,CAP_0402,2.1000,-8.0000,0.0000,top
C749,100n,CAP_0402,5.2500,-1.5000,0.0000,top
C750,10p,CAP_0402,0.3500,-8.0000,180.0000,top
C751,100n,CAP_0402,1.0000,5.2500,90.0000,top
C752,100n,CAP_0402,-1.2500,-5.2500,270.0000,top
C753,10n,CAP_0402,2.0000,-5.2500,270.0000,top
C754,1u,CAP_0402,3.0000,-5.2500,270.0000,top
C755,1u,CAP_0402,-6.5000,15.0000,270.0,bottom
C756,100n,CAP_0402,-6.5000,13.0000,90.0,bottom
C757,100n,CAP_0402,-1.0000,-42.5000,270.0000,top
C758,1u,CAP_0402,-1.2500,-13.2500,90.0000,top
C801,100n,CAP_0402,-1.0000,21.1125,180.0000,top
C901,100n,CAP_0402,-45.2493,35.3337,65.0000,top
C902,100n,CAP_0402,-43.4626,38.4283,55.0000,top
C903,100n,CAP_0402,-41.1657,41.1657,45.0000,top
C904,100n,CAP_0402,-38.4283,43.4626,35.0000,top
C905,100n,CAP_0402,-35.3337,45.2493,25.0000,top
C906,100n,CAP_0402,8.0907,35.3337,65.0000,top
C907,100n,CAP_0402,9.8774,38.4283,55.0000,top
C908,100n,CAP_0402,12.1743,41.1657,45.0000,top
C909,100n,CAP_0402,14.9117,43.4626,35.0000,top
C910,100n,CAP_0402,18.0063,45.2493,25.0000,top
C911,100n,CAP_0402,-42.2910,-5.7150,270.0000,top
C912,100n,CAP_0402,-15.6210,-5.7150,270.0000,top
